actor,description,genre,public,score,title,year
"Gordon Buchanan,David Attenborough,Chadden Hunter",David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,Documentary,TV-G,9.5,Planet Earth II,2016
"Anna Gunn,Aaron Paul,Bryan Cranston",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,"Crime,Drama,Thriller",TV-MA,9.5,Breaking Bad,2008–2013
"Nikolay Drozdov,David Attenborough,Sigourney Weaver","A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.",Documentary,TV-PG,9.4,Planet Earth,2006
"Damian Lewis,Scott Grimes,Ron Livingston","The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Drama,History,War",TV-MA,9.4,Band of Brothers,2001
"Jon Hamm,Vincent Kartheiser,Elisabeth Moss","A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",Drama,TV-MA,8.7,Mad Men,2007–2015
"Ratna Pathak Shah,Sumeet Raghavan,Satish Shah","The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Mumbai, whose daughter-in-law is from a middle class Delhi background.",Comedy,TV-PG,9.0,Sarabhai V/S Sarabhai,2004–2017
"Matt King,Robert Webb,David Mitchell",Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,Comedy,TV-MA,8.7,Peep Show,2003–2015
"Winona Ryder,Finn Wolfhard,Millie Bobby Brown","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Drama,Fantasy,Horror",TV-14,8.7,Stranger Things,2016–2024
"Setsuo Ito,Takahiro Sakurai,Chris Niosi","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","Animation,Action,Comedy",TV-14,8.6,Mob Psycho 100,2016–2022
"Emmy Rossum,William H. Macy,Ethan Cutkosky","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","Comedy,Drama",TV-MA,8.6,Shameless,2011–2021
