actor,description,genre,public,score,title,year
"Chadden Hunter,Gordon Buchanan,David Attenborough",David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,Documentary,TV-G,9.5,Planet Earth II,2016
"Bryan Cranston,Aaron Paul,Anna Gunn",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,"Crime,Drama,Thriller",TV-MA,9.5,Breaking Bad,2008–2013
"Sigourney Weaver,Nikolay Drozdov,David Attenborough","A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.",Documentary,TV-PG,9.4,Planet Earth,2006
"Damian Lewis,Ron Livingston,Scott Grimes","The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Drama,History,War",TV-MA,9.4,Band of Brothers,2001
"Nick Searcy,Lane Smith,Tom Hanks",Dramatized portrayal of the Apollo manned space program.,"Action,Drama,History",TV-14,8.6,From the Earth to the Moon,1998
"Regina Cassandra,Saba Azad,Jim Sarbh","The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future.","Drama,History",,8.9,Rocket Boys,2022– 
"Nozomu Sasaki,Junko Iwao,Mayo Suzukaze","In the era of Japan's Meiji Restoration, an assassin regains his humanity.","Animation,Action,Adventure",TV-MA,8.6,Rurouni Kenshin: Trust and Betrayal,1999
"Katey Sagal,Billy West,John DiMaggio","Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.","Animation,Adventure,Comedy",TV-14,8.5,Futurama,1999–2023
"Stevie Nicks,Bono,Tom Petty","""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.","Documentary,Biography,Crime",TV-MA,8.5,The Defiant Ones,2017
"Prue Leith,Mary Berry,Paul Hollywood",Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,"Game-Show,Reality-TV",TV-PG,8.6,The Great British Baking Show,2010– 
"Tamsin Greig,Bill Bailey,Dylan Moran","Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.",Comedy,TV-PG,8.5,Black Books,2000–2004
"Daisuke Sakaguchi,Rie Kugimiya,Tomokazu Sugita","In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.","Animation,Action,Comedy",TV-14,8.7,Gintama,2005–2021
"Honeysuckle Weeks,Michael Kitchen,Anthony Howell","As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.","Crime,Drama,Mystery",TV-14,8.6,Foyle's War,2002–2015
"André Holland,Jeremy Bobb,Clive Owen",A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,"Drama,History",TV-MA,8.5,The Knick,2014–2015
"Shailene Woodley,Nicole Kidman,Reese Witherspoon",The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.,"Crime,Drama,Mystery",TV-MA,8.5,Big Little Lies,2017–2019
"Michael Cudlitz,Regina King,Shawn Hatosy",The lives of Police Officers working for the Los Angeles Police Department.,"Crime,Drama,Thriller",TV-MA,8.5,Southland,2009–2013
"Gülse Birsel,Levent Üzümcü,Senay Gürler",The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,Comedy,,8.6,Avrupa Yakasi,2004–2009
"Ayane Sakura,Risa Taneda,Natsuki Hanae",A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,"Animation,Comedy,Drama",TV-PG,8.6,Your Lie in April,2014–2018
"Alfred Hitchcock,John Williams,Harry Tyler","Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.","Comedy,Crime,Drama",TV-14,8.5,Alfred Hitchcock Presents,1955–1962
"John Turturro,Riz Ahmed,Bill Camp","After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.","Crime,Drama,Mystery",TV-MA,8.5,The Night Of,2016
"Mike Matei,Kyle Rogers,James Rolfe",A foul-mouthed nerd reviews bad video games.,Comedy,TV-MA,8.5,The Angry Video Game Nerd,2004– 
"Tara Lynne O'Neill,Saoirse-Monica Jackson,Louisa Harland",The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.,Comedy,TV-MA,8.5,Derry Girls,2018–2022
"Alexander Skarsgård,Lee Tergesen,James Ransone","A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.","Drama,War",TV-MA,8.5,Generation Kill,2008
"Kate Atkinson,Robbie Magasiva,Katrina Milosevic",The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,"Crime,Drama,Thriller",TV-MA,8.6,Wentworth,2013–2021
"Margherita Mazzucco,Alba Rohrwacher,Gaia Girace",A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,Drama,TV-MA,8.6,My Brilliant Friend,2018– 
"Francis Mallmann,Massimo Bottura,Bill Buford","Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",Documentary,TV-MA,8.5,Chef's Table,2015–2019
"Courtney Henggeler,Ralph Macchio,William Zabka","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Action,Comedy,Drama",TV-14,8.5,Cobra Kai,2018–2023
"Adam McArthur,Junya Enoki,Yûichi Nakamura",A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,"Animation,Action,Adventure",TV-MA,8.5,Jujutsu Kaisen,2020– 
"Donald Glover,Danny Pudi,Joel McHale",A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,Comedy,TV-14,8.5,Community,2009–2015
"Steven Strait,Wes Chatham,Dominique Tipper","In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.","Drama,Mystery,Sci-Fi",TV-14,8.5,The Expanse,2015–2022
"William Salyers,J.G. Quintel,Sam Marin",The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,"Animation,Action,Adventure",TV-PG,8.5,Regular Show,2009–2017
"Andreea Vasile,Maria Obretin,Serban Pavlu","Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.","Crime,Drama,Thriller",TV-MA,8.7,Umbre,2014–2019
"Caroline Dhavernas,Mads Mikkelsen,Hugh Dancy",Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,"Crime,Drama,Horror",TV-MA,8.5,Hannibal,2013–2015
