genre,title
"Biography,Drama,History",Schindler's List
"Action,Adventure,Drama",The Lord of the Rings: The Return of the King
"Crime,Drama",12 Angry Men
"Crime,Drama",The Godfather Part II
Drama,The Shawshank Redemption
"Action,Crime,Drama",The Dark Knight
"Crime,Drama",The Godfather
"Action,Adventure,Drama",The Lord of the Rings: The Two Towers
"Adventure,Western","The Good, the Bad and the Ugly"
"Drama,Romance",Forrest Gump
"Crime,Drama",Pulp Fiction
Drama,Fight Club
"Action,Adventure,Sci-Fi",Inception
"Action,Adventure,Drama",The Lord of the Rings: The Fellowship of the Ring
"Action,Adventure,Fantasy",Star Wars: Episode V - The Empire Strikes Back
"Adventure,Biography,Drama",Dersu Uzala
"Animation,Adventure,Comedy",Aladdin
Drama,The Help
"Adventure,Drama,Western",Dances with Wolves
"Action,Sci-Fi",The Matrix
Comedy,Life of Brian
"Drama,Thriller",Persona
"Comedy,Romance",It Happened One Night
"Animation,Action,Adventure",The Iron Giant
"Crime,Drama",The 400 Blows
"Crime,Drama",Cool Hand Luke
"Biography,Drama,Family",The Sound of Music
"Drama,Film-Noir,Mystery",Rebecca
"Drama,Family",My Father and My Son
"Drama,Romance,Thriller",The Handmaiden
Drama,The Grapes of Wrath
"Crime,Drama,Mystery",Jai Bhim
"Drama,Thriller",Amores Perros
"Drama,War",The Battle of Algiers
Drama,Pather Panchali
"Comedy,Drama,Fantasy",Groundhog Day
"Animation,Action,Adventure",The Incredibles
"Comedy,Romance,War",To Be or Not to Be
"Crime,Drama",La haine
"Action,Adventure,Fantasy",Pirates of the Caribbean: The Curse of the Black Pearl
"Biography,Drama,Family",Hachi: A Dog's Tale
Horror,The Exorcist
"Drama,Romance",Before Sunset
"Drama,Romance,War",The Best Years of Our Lives
"Action,Biography,Drama",Rush
Drama,Network
"Action,Sci-Fi",The Terminator
"Adventure,Biography,Drama",Into the Wild
"Action,Drama,Sci-Fi",Logan
"Adventure,Family,Fantasy",The Wizard of Oz
"Biography,Crime,Drama",Spotlight
"Adventure,Drama",Stand by Me
"Animation,Adventure,Comedy",Ratatouille
"Drama,Sport",Rocky
"Biography,Drama,History",Hotel Rwanda
"Drama,War",Platoon
"Action,Biography,Drama",Ford v Ferrari
"Comedy,Crime",The Big Lebowski
"Biography,Drama,History",The Passion of Joan of Arc
"Drama,Thriller",Room
"Adventure,Thriller",Jaws
"Comedy,Drama",Dead Poets Society
"Animation,Adventure,Comedy","Monsters, Inc."
Drama,Tokyo Story
"Animation,Action,Adventure",How to Train Your Dragon
"Action,Adventure,Sci-Fi",Mad Max: Fury Road
"Drama,Fantasy",The Seventh Seal
"Animation,Comedy,Drama",Mary and Max
"Adventure,Drama,Thriller",The Wages of Fear
"Crime,Drama,Mystery",Memories of Murder
"Comedy,Drama",Mr. Smith Goes to Washington
"Action,Comedy,Romance",Sherlock Jr.
"Drama,War",The Deer Hunter
"Comedy,Drama,Thriller",Wild Tales
"Film-Noir,Mystery,Thriller",The Third Man
"Biography,Drama,History",Hacksaw Ridge
"Adventure,Drama,War",Barry Lyndon
"Action,Adventure,Comedy",The General
"Biography,Crime,Drama",In the Name of the Father
